frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
22,0.21,0.174095529308712,0.360126014992974,0.77346090582112,0.387714879379526,64.19950845437,-61.5640367193951,
23,0.22,0.168043800826403,0.362989367618139,0.765895806976468,0.413713905490278,65.1584989953854,-60.3088738471827,
24,0.23,0.161461790597307,0.365964602355353,0.756679951641512,0.441564475127432,66.1931628397002,-58.9546669107626,
25,0.24,0.154334998693459,0.369026703882375,0.745572906074415,0.47119194687523,67.3042570730326,-57.5004250078847,
26,0.25,0.146650913277333,0.372147161261408,0.732322508941218,0.502488183324755,68.4922371452734,-55.9455520286103,
27,0.26,0.138399302363106,0.375294062177122,0.716668695304054,0.535308152768254,69.7572550730326,-54.2898490078847,
28,0.27,0.129572523063304,0.378432241315416,0.698348220714254,0.569466808244219,71.0991588397002,-52.5335149107626,
29,0.28,0.120165842329164,0.381523485957709,0.677100292105313,0.604736430592509,72.5174929953854,-50.6771458471827,
30,0.29,0.110177762021867,0.384526801089148,0.652673075429936,0.640844640753657,74.01150045437,-48.7217327193951,
31,0.3,0.0996103400864021,0.387398735346247,0.624831006250674,0.677473297888292,75.5801254829793,-46.6686573113221,
32,0.31,0.0884694986898892,0.390093767960422,0.593362779904292,0.714258501675479,77.2220178660808,-44.5196868352888,
33,0.32,0.0767653094818035,0.392564755499221,0.558089844277561,0.750791907183243,78.9355382357668,-42.2769669576431,
34,0.33,0.0645122456834941,0.39476343568886,0.51887516327097,0.786623537155437,80.7187645411899,-39.9430133307914,
35,0.34,0.0517293905631912,0.396640983953954,0.475631966005617,0.821266238187942,82.5694996340202,-37.520701665067,
36,0.35,0.0384405920382893,0.398148616578968,0.428332149642757,0.854201873675946,84.4852799395855,-35.013256379616,
37,0.36,0.0246745536973901,0.399238232637901,0.377013966593271,0.884889278266535,86.4633851794756,-32.4242378770876,
38,0.37,0.0104648534665384,0.3998630851203,0.321788604218843,0.912773917738911,88.5008491072377,-29.7575284923515,
39,0.38,-0.00415011754124711,0.39997847007607,0.262845260889442,0.937299107960614,90.5944712147966,-27.0173171706961,
40,0.39,-0.0191273017715915,0.399542421185709,0.2004543397717,0.957918551314096,92.7408293633978,-24.2080829359746,
41,0.4,-0.0344192113303991,0.398516396013255,0.134968423157323,0.974109854352258,94.9362932892252,-21.334577213945,
42,0.41,-0.0499742549001754,0.396865939389074,0.0668207561643697,0.985388602835804,97.1770389303946,-18.4018050805624,
43,0.42,-0.0657371544105861,0.394561308962243,-0.00347894188679541,0.991322496518323,99.4590635187786,-15.4150055092315,
44,0.43,-0.0816494477496715,0.391578048008534,-0.07535141032086,0.991544992701777,101.778201377104,-12.3796306949717,
45,0.44,-0.0976500711102746,0.387897491113514,-0.14815747101863,0.98576788054127,104.130140358975,-9.30132453709446,
46,0.45,-0.113676011939224,0.383507189384493,-0.221210156743872,0.97379221181106,106.510438866949,-6.18590036531086,
47,0.46,-0.129663021001786,0.378401243370962,-0.293789023492548,0.95551705090564,108.914543381488,-3.03931799717537,
48,0.47,-0.145546369896202,0.372580533858169,-0.365156201404325,0.930945577449701,111.337806431624,0.132339782591387,
49,0.48,-0.161261638550628,0.366052843086851,-0.434573631369081,0.900188176669648,113.775504936399,3.32289122807497,
50,0.49,-0.176745515892541,0.358832861666654,-0.501320852955048,0.863462280716673,116.222858844714,6.52608002869404,
51,0.5,-0.191936596065611,0.35094207939594,-0.5647126604129,0.821088871206483,118.67505,9.73559999999999,
52,0.51,-0.206776152326354,0.342408561267251,-0.62411593182467,0.773485710334905,121.127241155286,12.9451199713059,
53,0.52,-0.221208871102353,0.333266613007698,-0.678964963850614,0.72115752492991,123.574595063601,16.148308771925,
54,0.53,-0.235183529629061,0.323556343456926,-0.728774709942577,0.664683514342962,126.012293568376,19.3388602174086,
55,0.54,-0.248653602069932,0.313323133805418,-0.773151419405609,0.604702679432957,128.435556618512,22.5105179971754,
