frame, time,Joint6: JointValue (degree),Joint6: JointVel (degree/s),Joint6: JointAccl (degree/s^2),Joint6: GenForce (N.m),Joint5: JointValue (degree),Joint5: JointVel (degree/s),Joint5: JointAccl (degree/s^2),Joint5: GenForce (N.m),Joint4: JointValue (degree),Joint4: JointVel (degree/s),Joint4: JointAccl (degree/s^2),Joint4: GenForce (N.m),Joint3: JointValue (degree),Joint3: JointVel (degree/s),Joint3: JointAccl (degree/s^2),Joint3: GenForce (N.m),Joint2: JointValue (degree),Joint2: JointVel (degree/s),Joint2: JointAccl (degree/s^2),Joint2: GenForce (N.m),Joint1: JointValue (degree),Joint1: JointVel (degree/s),Joint1: JointAccl (degree/s^2),Joint1: GenForce (N.m),
25,0.24,2.0966432144423E-05,0.000702525907893282,0.0163926360354155,-6.34198883499279E-07,0.498232967821629,6.89367478318155,68.3983676055806,0.00411596516261179,0.113827002737068,1.87082967271216,21.4017146438688,6.03268450419078E-06,12.7894693521864,98.3354438022446,335.485568508413,0.501242073610756,13.3841959333048,106.804016844241,421.341411106093,-0.171922799439116,-0.113843128270128,-1.87131780634553,-21.4121230285587,0.527149847113498,
26,0.25,2.92147879137198E-05,0.000960478732052428,0.022154320792033,-8.9018773585452E-07,0.570914290681511,7.65716102317145,73.6739569881613,0.00422689581507626,0.133735164098086,2.11593301264945,23.4417572605132,7.59410756954016E-06,13.7886552475906,101.566331793568,327.410673575242,0.517093950749425,14.4727718072176,110.993963720273,419.938345421292,-0.145794514071234,-0.133756898253785,-2.11657329454629,-23.4551607525155,0.559215947969407,
27,0.26,4.04630551014295E-05,0.00130684845038994,0.0298139152001869,-1.23534471977282E-06,0.651501466493535,8.47569798906006,79.1075254842952,0.00432646430040915,0.156204838813885,2.38358311559084,25.6220183727377,9.53100928059396E-06,14.8197090320155,104.710998881699,318.967789891148,0.531935794432472,15.6031481283933,115.167134992943,418.355897204674,-0.115316797445402,-0.156233906726122,-2.38441802806056,-25.6392006249236,0.593455898929538,
28,0.27,5.57306233833139E-05,0.0017699902907637,0.0399530772275232,-1.69616065411854E-06,0.74055180151374,9.35066567467815,84.686185318989,0.00441353787351156,0.18146927425063,2.67537797094142,27.9550967481244,1.19319438517079E-05,15.8817507028893,107.765825746989,310.160447145152,0.54566136110971,16.7751472650571,119.321517031226,416.579490554606,-0.0802883660621418,-0.181507878394591,-2.67646093696844,-27.9770357182367,0.630122453781239,
29,0.28,7.63607011539049E-05,0.00238667325938085,0.0533158493526094,-2.30574569083102E-06,0.838635657233814,10.2832938162324,90.3956290564086,0.00448697409306197,0.209778443903567,2.99306946213101,30.4553959629909,1.49066362173311E-05,16.9738643556569,110.727251044552,300.993663528809,0.558163463204387,17.9885706984287,123.454943760173,414.594087484771,-0.0405166218109727,-0.209829386474796,-2.9944675470481,-30.4833114075699,0.669483129614216,
30,0.29,0.000104115325165903,0.00320434291628136,0.0708489259534232,-3.10520118008783E-06,0.946334875397924,11.2746472552768,96.2200966162717,0.00454563922864932,0.241400690664804,3.33858475831792,33.1393408733132,1.85910558346044E-05,18.0950988434386,113.59178756363,291.474033724419,0.569335310394422,19.2431974789614,127.565092767422,412.384233564397,0.00417965138557719,-0.241467526142946,-3.34038203114081,-33.1747534192283,0.711819026372066,
31,0.3,0.000141295603708783,0.00428392446486174,0.0937506520394386,-4.14522643094658E-06,1.06424105585067,12.3256111510335,102.142354017765,0.00458843031408873,0.276624596465457,3.71405026128434,36.0256194613516,2.31536747664446E-05,19.2444686019636,116.356039118017,281.609807359791,0.579072000520561,20.5387826466234,131.64948202036,409.934113535859,0.0539673980404345,-0.276711821727617,-3.7163519755834,-36.0704240244243,0.757423065876765,
32,0.31,0.00019089314606714,0.00570327980506313,0.123530429316811,-5.48799486521841E-06,1.19295368634256,13.436876169306,108.143684591642,0.00461430133305231,0.315761105272285,4.12181839918533,39.1354526421992,2.88031736487356E-05,20.4209546465209,119.016718052334,271.41095660846,0.587272156590075,21.8750556218984,135.705467310751,407.227618059271,0.108996239504414,-0.315874396401902,-4.12475619124536,-39.1920096031438,0.806597481688763,
33,0.32,0.000256779871610211,0.00756145370807438,0.162080507792022,-7.20933891326623E-06,1.33307812470953,14.6089237783046,114.203893132154,0.00462229410214512,0.359145929446627,4.56449758043189,42.4928944109591,3.57979130869437E-05,21.6235057464511,121.570663235076,260.889231580438,0.59383970407327,23.2517185754075,139.730240554387,404.248422695398,0.169395299045512,-0.359292436585212,-4.56823592898893,-42.5641427422078,0.859650343155749,
34,0.33,0.000343944866296069,0.00998386964743536,0.21176249765584,-9.40128844553789E-06,1.48522343514564,15.8420117810022,120.301323120612,0.00461157451790915,0.407142272685777,5.04498563558878,46.1251642159445,4.44575509035816E-05,22.8510397813375,124.014858394801,250.058202090248,0.598685780425321,24.6684447853778,143.720829082882,400.980080151477,0.235269949778889,-0.407330986992532,-5.04972988451587,-46.2147617080587,0.916890835616774,
35,0.34,0.000458788704535943,0.0131286657263266,0.27551135499199,-1.21750134831476E-05,1.65000008156164,17.1361602083592,126.412886735179,0.00458147496481192,0.460143906068388,5.56650707728656,50.0630125044501,5.51772578893904E-05,24.1024452815445,126.346450639887,238.933284286949,0.601730766602976,26.1248769935925,147.674096072427,397.406126666826,0.306698537802049,-0.460386116202841,-5.57251339246362,-50.1755094012789,0.978622940340359,
36,0.35,0.000609487729070395,0.0171943962915938,0.356960082984063,-1.5664228144334E-05,1.8280174822162,18.4911376870695,132.514106862323,0.00453154384944567,0.518578636953257,6.13265448967413,54.3411187858551,6.84450660449127E-05,25.3765831540652,128.562768984087,227.531750457563,0.602906428389277,27.6206257719355,151.586742259365,393.510203191249,0.383729136771869,-0.518888496619224,-6.14024220654479,-54.48217254071,1.0451370578776,
37,0.36,0.000806443236885661,0.022429365956794,0.460588952082923,-2.00291187711295E-05,2.01988143086376,19.9064483785585,138.579169742511,0.00446160344145029,0.582912213373399,6.74743430796689,58.9985189764719,8.48629722085495E-05,26.6722885927574,130.661342678271,215.872720030328,0.602158153690026,29.1552679131489,155.455309093648,389.276191689106,0.466376390293288,-0.583307446527507,-6.75700122997739,-59.175159527116,1.11669899159349,
38,0.37,0.00106283341848149,0.0291429105380414,0.591903676461815,-2.54608640462026E-05,2.2261913905165,21.3813195620634,144.58098621978,0.00437181747399152,0.653652708718516,7.41531714785655,64.0790547801552,0.000105172512785319,27.9883731699233,132.639919121237,203.977129350129,0.599447270689969,30.7283448609189,159.276183477312,384.688366459439,0.554618492900914,-0.654155485254074,-7.42735848147416,-64.3000117473922,1.19353554761312,
39,0.38,0.00139528930998639,0.0377189942882178,0.757647677226012,-3.21868171192931E-05,2.44753766649488,22.9146899031806,150.491258834004,0.00426277029482192,0.731355432293446,8.14129266893897,69.6318317756952,0.000130285614731462,29.3236271037407,134.496481086153,191.867677094063,0.594753430853667,32.3393611958259,163.045604224157,379.731559762052,0.648394346418812,-0.731993454596647,-8.15642443189541,-69.9079373513269,1.27581580569046,
